122	杨博宇	长春亚泰	后卫	9	1	0
123	李浩文	上海上港	前锋	4	1	0
124	唐淼	广州富力	后卫	25	1	0
125	廖力生	广州恒大淘宝	中场	15	1	0
126	王燊超	上海上港	后卫	24	1	0
127	黄博文	广州恒大淘宝	中场	28	1	0
128	戴维-克劳德·安冈	杭州大金绿城	前锋	14	1	0
129	朱利安·戈留斯	长春亚泰	中场	12	1	0
130	阎峰	长春亚泰	中场	20	1	0
131	张耀坤	广州富力	后卫	26	1	0
132	姜至鹏	广州富力	后卫	26	1	0
133	陈志钊	广州富力	中场	17	1	0
134	尤西莱	山东鲁能	中场	30	1	0
135	池忠国	延边长白虎	中场	23	1	0
136	傅欢	上海上港	后卫	20	1	0
137	赵和靖	北京国安乐视	后卫	26	1	0
138	冯绍顺	石家庄永昌	中场	17	1	0
139	Jean-Philippe	石家庄永昌	前锋	13	1	0
140	赞纳迪内	天津泰达亿利	后卫	26	1	0
141	景洛	杭州大金绿城	中场	17	1	0
142	拉尔夫	北京国安乐视	中场	30	1	0
143	周海滨	天津泰达亿利	后卫	22	1	0
144	冯刚	杭州大金绿城	中场	22	1	0
145	瓦格纳	天津泰达亿利	中场	11	1	0
146	张贤秀	广州富力	后卫	24	1	0
147	杜明洋	北京国安乐视	中场	5	1	0
148	叶楚贵	广州富力	前锋	6	1	0
149	尹鸿博	河南建业	中场	28	1	0
150	张池明	北京国安乐视	中场	23	1	0
151	陈柏良	杭州大金绿城	中场	25	1	0
152	程谋义	杭州大金绿城	中场	17	1	0
153	于海	上海上港	后卫	29	1	0
154	蔡慧康	上海上港	中场	27	1	0
155	郑又荣	重庆力帆	中场	30	1	0
156	范柏群	天津泰达亿利	中场	13	1	0
157	雷腾龙	北京国安乐视	后卫	25	1	0
158	朴成	北京国安乐视	中场	19	1	0
159	张利峰	河北中基	中场	9	1	0
160	冯卓毅	河南建业	中场	27	1	0
161	李晓明	河南建业	中场	21	1	0
162	孙世林	辽宁盘锦宏运	中场	24	1	0
163	郑智	广州恒大淘宝	中场	26	1	0
164	黄希扬	杭州大金绿城	中场	20	1	0
165	钟晋宝	河南建业	中场	17	1	0
166	斯文松	广州富力	中场	28	0	0
167	路堯	河南建业	中场	14	0	0
168	丁海峰	河北中基	后卫	28	0	0
169	Qin	重庆力帆	后卫	13	0	0
170	石笑天	辽宁盘锦宏运	门将	29	0	0
171	姜洪权	延边长白虎	后卫	19	0	0
172	戈兰·米洛维奇	重庆力帆	后卫	21	0	0
